filename,script,prompt_framework,midjourney_prompt
AP1,Authentic vs. Naive Progress - The contrast between sustainable progress and unchecked development masked as advancement.,"1. Visual Description: A futuristic cityscape, filled with towering skyscrapers and bustling traffic, contrasted with a serene, untouched natural landscape, marked by rolling hills, lush forests, and a tranquil river. A large gear, symbolic of progress, is split down the middle, one half merging with the cityscape and the other with the natural scene.
2. Detail Layer: The cityscape is rendered with sharp lines and exaggerated perspectives, bathed in midnight blue and forest green, with highlights of electric tangerine and neon lime illuminating the traffic and skyscrapers. The natural landscape is rendered more softly, yet still with a dynamic edge, dominated by the deep cool tones, with accents of bright turquoise and aqua representing the river and the verdant vegetation. The gear is half submerged in each scene, the city part appearing sleek and artificial, the natural part appearing rustic and organic. The mood is tense yet hopeful, the perspective from a mid-distance to encompass the entire scene.
3. Artistic Style: The Italian Futurism influence manifests in the dynamic, angular composition and the sense of movement within the cityscape. The 90s editorial style is evident in the layered, graphic composition and the modern, slightly abstracted rendering of the elements.","A dichotomous scene of a bustling, futuristic cityscape bathed in the deep tones of midnight blue and forest green, contrasted with a serene, untouched natural landscape in the same cool tones, but accented with bright turquoise and aqua. The cityscape is alive with sharp, angular lines and exaggerated perspectives, neon lime and electric tangerine illuminating the towering skyscrapers and traffic, suggesting unchecked development. The natural landscape, symbolizing sustainable progress, is rendered softly yet dynamically, with the tranquil river and lush vegetation adding layers to the composition. A large gear, split down the middle and half submerged in each scene, adds to the stark contrast. The city part of the gear is sleek and artificial, the natural part rustic and organic. View this scene from a mid-distance, capturing the tension yet hopeful mood in its entirety. Italian Futurism style, sharp angular composition, editorial illustration, neon accents --ar 9:16 --s 750 --style raw"
AP2,"Authentic vs. naive progress: one builds a sustainable future, the other builds a really nice deck on the Titanic.","1. Visual Description: A split scene depicting two contrasting elements - on one side, a figure laboriously constructing a sturdy, futuristic cityscape using advanced tools, and on the other, a second figure nonchalantly building a luxurious deck on a large, doomed ship.

2. Detail Layer: The scene is divided in half diagonally by a sharp, angular line. The left half, portraying a sustainable future, is bathed in cool midnight blue and forest green shades, with electric tangerine highlights on the modern buildings. The right half, illustrating naive progress, is dominated by the Titanic in an aqua hue, with a neon lime deck catching the viewer's eye. The lighting is dramatic, with sharp contrasts and bold shadows suggesting motion and energy. The mood is dynamic yet balanced, with exaggerated perspectives adding a sense of urgency.

3. Artistic Style: The composition combines Italian Futurism's dynamic lines and movement with the layered compositions and modern aesthetics of 1990s editorial illustrations.","A split scene in sharp, angular composition; on the left, a figure utilizing advanced tools to laboriously construct a futuristic cityscape bathed in a cool midnight blue and forest green palette, highlighted with electric tangerine - epitomizing authentic progress towards a sustainable future. On the right, a nonchalant figure building a luxurious deck on a large, doomed ship - the Titanic - colored in aqua with a neon lime deck that stands out, depicting naive progress. The scene is divided diagonally with an energetic vibe, using bold shadows and dramatic lighting to suggest motion. Blend these visuals with the dynamic lines and movement of Italian Futurism and the layered compositions of 90s editorial illustrations, maintaining a balance between modern flair and historical art styles. --ar 9:16 --s 750 --style raw"
AP3,Authentic progress moves forward; naive progress thinks the cliff is just a step.,"1. Visual Description: A dynamic scene of two contrasting figures in mid-stride: the first, a confident explorer with a headlamp and climbing gear, stepping forward on a solid ground; the second, a naive adventurer, looking skyward and unknowingly about to step off a cliff. Midway between them, a sharp, angular divide separates the safe path from the precipice. 

2. Detail Layer: Deep midnight blue and forest green underpin the scene, creating a cool-toned base. The explorer is highlighted in bright turquoise and aqua, while the naive adventurer takes on electric tangerine and neon lime accents. The perspective is exaggerated to emphasize the impending danger, with the cliff edge looming in the foreground. The mood is a tense balance between the explorer's careful progression and the adventurer's impending fall. The scene is lit dramatically, with the explorer's headlamp casting a harsh, sharp-lined spotlight on the ground ahead, and the cliff edge ominously shadowed.

3. Artistic Style: This piece will blend Italian Futurism and 90s editorial illustration styles, with active, layered compositions. The Futurist influence is seen in the angular, dynamic forms and the sense of motion, while the 90s aesthetic is reflected in the bold color choices and graphic design elements.","A dynamic scene of two contrasting figures in mid-stride: a confident explorer, highlighted in bright turquoise and aqua, stepping forward on solid, cool-toned ground of deep midnight blue and forest green; and a naive adventurer, accented in electric tangerine and neon lime, looking skyward and unknowingly about to step off a sharply angular cliff edge ominously shadowed in the foreground. The perspective is exaggerated to emphasize the impending danger, with the explorer's headlamp casting a harsh, spotlight on the ground ahead. The mood is a tense balance between careful progression and impending fall, rendered in a blend of Italian Futurism with its sense of motion and dynamic forms, and 90s editorial style with its bold color choices and graphic design elements. --ar 9:16 --s 750 --style raw"
AP4,Authentic progress is building a bridge; naive progress is jumping off it and calling it a shortcut.,"1. Visual Description: A dynamic scene of a bridge under construction, with workers hustling, lifting heavy beams into place. In the foreground, a figure is seen leaping off the partially built structure. 

2. Detail Layer: The bridge is a construct of sharp, angular lines, contrasting with the undulating river below. The color palette is dominated by midnight blue and forest green, with bright turquoise and aqua accents in the river and the bridge. The workers are captured mid-motion, their neon lime high-visibility vests standing out against the deep background. The figure jumping off the bridge is highlighted in electric tangerine, suggesting a reckless, breakneck energy. The perspective is skewed, emphasizing the height of the bridge and the depth of the river, creating a sense of vertigo.

3. Artistic Style: The overall aesthetic is influenced by Italian Futurism, with its emphasis on movement and the mechanical. The energetic scene is rendered in a 1990s editorial illustration style, with a modern, graphic quality.","A dynamic scene depicting the construction of a bridge over an undulating river, rendered in midnight blue and forest green. The bridge, a construct of sharp, angular lines, stands in contrast to the flowing river, accented in bright turquoise and aqua. Workers hustle, their movements captured mid-motion, lifting heavy beams into place, their neon lime high-visibility vests standing out against the deep background. In the foreground, a figure is captured leaping off the partially built structure, highlighted in electric tangerine, suggesting a reckless, breakneck energy. The perspective is skewed, emphasizing the height of the bridge and the depth of the river, creating a sense of vertigo. Italian Futurism style, sharp angular composition, editorial illustration, neon accents --ar 9:16 --s 750 --style raw"
AP5,Authentic progress is like finding the brakes on a runaway train; naive progress is figuring out how fast it can crash.,"1. Visual Description: A runaway train tearing through the night, sparks flying from the wheels, a figure on top wrestling with the brake mechanism. In the distance, a sharp, impending cliff edge illuminated by moonlight.
2. Detail Layer: The composition is dominated by the diagonally-placed train, creating a sense of dynamic motion. Deep midnight blue and forest green tones pervade the scene, with bright turquoise used for the moonlit cliff and aqua for the sparks. Highlights of electric tangerine and neon lime punctuate the scene, adding urgency and tension. The perspective is exaggerated, emphasizing the looming cliff edge and enhancing the sense of speed and danger.
3. Artistic Style: The scene combines the bold, angular lines and exaggerated perspectives of Italian Futurism with the layered compositions and modern flair of 90s editorial illustration.","A dynamic scene of a runaway train ripping through the midnight blue night, its wheels casting bright aqua sparks, while a figure wrestles with the brake mechanism atop. The impending cliff edge, bathed in moonlit turquoise, looms in the distance, casting a sense of urgency and danger. Deep forest greens blend into the background, adding depth and tension to the composition. Sharp, angular lines and exaggerated perspectives enhance the sense of speed and impending doom, while electric tangerine and neon lime highlights punctuate the scene. Italian Futurism style, sharp angular composition, editorial illustration, neon accents --ar 9:16 --s 750 --style raw"
AP6,Authentic progress is planting a tree; naive progress is printing out pictures of forests and calling it conservation.,"1. Visual Description: A dynamic scene divided into two distinct halves. On the left, a figure laboring to plant a tree in a barren landscape. On the right, another figure gleefully parading a printed picture of a lush forest in a sterile room. 

2. Detail Layer: The composition is angular and dynamic, with sharp lines delineating the two scenes. The left side is dominated by cool tones - midnight blue and forest green - representing the harsh reality of the work. The figure is illuminated by a harsh, electric tangerine spotlight, illuminating the sweat on their brow. The right side is a brighter, artificial space, with a bright turquoise and aqua backdrop. The picture of the forest is highlighted in neon lime, representing the illusion of progress. The mood contrasts between gritty determination and naive triumph.

3. Artistic Style: The exaggerated perspectives and active compositions are reminiscent of Italian Futurism, while the flat, stylized figures and environments hark back to 1990s editorial illustrations. The stark contrast between the two halves of the composition echoes the modernist penchant for juxtaposition and dichotomy.","A dynamic scene divided into two distinct halves, the left showing a figure laboring to plant a tree in a barren midnight blue and forest green landscape, starkly illuminated by an electric tangerine spotlight. On the right, another figure in an artificially bright turquoise and aqua room, gleefully holding a neon lime-highlighted picture of a lush forest. The composition is angular, sharp, and active, with exaggerated perspectives reminiscent of Italian Futurism and the flat stylized aesthetic of 1990s editorial illustrations. Italian Futurism style, sharp angular composition, editorial illustration, neon accents --ar 9:16 --s 750 --style raw"
AP7,Authentic progress is sustainable; naive progress is just setting the world on fire to stay warm.,"1. Visual Description: A cityscape split into two contrasting halves. On the left, a futuristic city thriving in harmony with nature, tall skyscrapers draped in lush greenery, and wind turbines spinning in the background. On the right, a city ablaze, skyscrapers crumbling under the destructive force of fire, smoke billowing into the night sky. 

2. Detail Layer: The composition is divided sharply down the middle, creating a visual contrast between the two sides of progress. The color palette is deep and cool-toned for the sustainable city, with forest green and midnight blue dominating. Bright turquoise and aqua accents highlight the fresh, vibrant life in this half. On the other side, the colors shift dramatically to reflect the destruction, with electric tangerine and neon lime capturing the chaos of the fire and its eerie glow. The perspective is exaggerated, focusing on the towering structures in both halves, with sharp lines suggesting motion and dynamic energy.

3. Artistic Style: The style blends Italian Futurism's bold, angular compositions and dynamic sense of movement with the aesthetic of 1990s editorial illustration, particularly its layered composition and modern flair. The futuristic city represents the forward-thinking philosophy of Futurism, while the burning city reflects the stark, dramatic visuals typical of 90s editorial art.","A split cityscape painting, one half showcasing a futuristic city thriving in harmony with nature, its skyscrapers densely draped in lush greenery, wind turbines dotting the horizon, painted in deep cool tones of forest green and midnight blue with vibrant accents of bright turquoise and aqua. The other half is a stark contrast, depicting a city on fire, its skyscrapers crumbling under destructive flames, with thick smoke rising into the night sky, colored with a harsh mix of electric tangerine and neon lime. The painting is a sharp, angular composition, its perspective exaggerated to emphasize the towering structures in both halves, with distinct lines suggesting motion and dynamic energy. Italian Futurism style, sharp angular composition, editorial illustration, neon accents --ar 9:16 --s 750 --style raw"
AP8,"Naive progress is like rearranging the deck chairs on the Titanic—looks nice, but everyone still drowns.","1. Visual Description: The scene portrays a large, luxurious ship - the Titanic - sinking into the inky abyss of the sea, while a group of elegantly dressed individuals obliviously arrange deck chairs in the foreground. The ship is drawn with sharply angled lines to suggest its rapid descent, and the people are stylized with exaggerated postures to emphasize their frantic yet futile actions.
2. Detail Layer: The composition is both active and layered, with the sinking ship, the ocean, and the oblivious individuals on different planes. The central focus is the brightly lit deck, with the people and their rearranged chairs in bright turquoise and aqua, contrasting the cool midnight blue and forest green of the sinking ship and sea. The overall mood is dramatic and ironic, enhanced by spotlights of electric tangerine and neon lime highlighting the people and their rearranged deck chairs. The perspective is exaggerated, with the ship seeming to plunge downwards and the people appearing larger than they should be.
3. Artistic Style: The scene is a blend of Italian Futurism with its dynamic lines and movement, and 90s editorial illustration with its bold colors and layered composition.","A dynamic scene of the Titanic's dramatic sinking into a midnight blue and forest green sea, its sharp, angular lines suggesting rapid descent. In the foreground, obliviously frantic individuals in exaggerated postures rearrange deck chairs, their forms and the chairs rendered in bright turquoise and aqua. The deck is spotlighted with electric tangerine and neon lime highlights, contrasting the cool tones of the doomed ship and ocean. This scene, layered in composition and dramatic in mood, presents an ironic tableau of naive progress. The style is a fusion of Italian Futurism's dynamic motion and 90s editorial illustration's bold, layered aesthetic --ar 9:16 --s 750 --style raw."
AP9,Naive progress is like throwing yourself off a cliff and calling it flying—until the ground tells you otherwise.,"1. Visual Description: A figure leaping off a towering cliff, arms outstretched in a flight pose against a backdrop of a sprawling cityscape. Below, the ground is ominously visible, a stark reminder of the impending fall.
2. Detail Layer: The figure is silhouetted in electric tangerine against the midnight blue sky. The cityscape is depicted in sharp, angular lines, with buildings in forest green and streets in bright turquoise. The ground is a contrasting neon lime, casting an eerie glow. The perspective is from a dramatic low angle, looking up towards the figure, exaggerating the height of the cliff and the depth of the fall. The mood is one of bold, naive optimism tempered by the threatening ground below.
3. Artistic Style: The bold colors, sharp lines, and exaggerated perspective embody the dynamism of Italian Futurism. The layered composition and active scene echo the 90s editorial illustration aesthetic.","A bold composition of a figure silhouetted in electric tangerine, leaping off a towering cliff against a backdrop of a sprawling cityscape painted in forest green and bright turquoise. The figure, arms outstretched as if in flight, stands stark against the midnight blue sky. Below, the ground is ominously present, a stark, neon lime reminder of the impending fall. The scene is viewed from a dramatic low angle, the perspective exaggerating the height of the cliff and the depth of the fall. This bold, naive optimism is tempered by the threatening ground, creating a mood of daring and imminent danger. Italian Futurism style, sharp angular composition, editorial illustration, neon accents --ar 9:16 --s 750 --style raw"
AP10,"Naive progress is like using duct tape on a sinking ship—sure, it looks like you’re doing something.","1. Visual Description: A large ship battling a stormy sea, with the crew desperately trying to fix the hull with rolls of duct tape. The sea is aggressive, waves crashing against the ship, while the sky is filled with dark, menacing clouds. 

2. Detail Layer: The ship is in the center of the composition, tilting dramatically to show its struggle against the sea. The crew members are scattered around the ship, their bodies stretched and distorted in their futile efforts to fix the hull. The sea is a deep, cool-toned base of midnight blue, with waves highlighted in bright turquoise. The sky is a forest green, with electric tangerine lightning cutting through it. The ship and the duct tape are neon lime, creating stark contrast against the dark sea and sky. The mood is intense, chaotic, and desperate. The perspective is exaggerated, with the ship appearing larger than life and the sea and sky stretching out infinitely. 

3. Artistic Style: The scene is painted in the style of Italian Futurism, with sharp lines and angles suggesting motion and dynamism. The 1990s editorial illustration aesthetic is evident in the bold colors, abstract shapes, and layered composition.","A large ship in neon lime battles a stormy sea of deep, cool-toned midnight blue, with waves highlighted in bright turquoise. Crew members, bodies stretched and distorted, desperately try to fix the hull with rolls of duct tape. The sky is a menacing forest green, with electric tangerine lightning cutting through it. The ship and the duct tape stand out starkly against the dark sea and sky, creating a scene of intense, chaotic desperation. The perspective is exaggerated, with the ship appearing larger than life and the sea and sky stretching out infinitely. Italian Futurism style, sharp angular composition, editorial illustration, neon accents --ar 9:16 --s 750 --style raw"
